text,year,month,day
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,2023,1,30
 thanks. before the major chop.,2023,2,1
I need blood O negative,2023,2,21
Done at the spa   now meeting vic for some late lunch!,2023,2,17
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,2023,1,18
sounds good,2023,5,28
Cant wait to see my boy tomorrow,2023,2,18
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",2023,1,15
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",2023,1,26
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",2023,1,30
 If only we could ever actually be allowed to stay here and do that,2023,2,28
 Sorry to hear ur flight got cancelled  that blows!!!,2023,8,23
I have to go to work now.,2023,3,30
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,2023,8,14
The exception for a short dude: Larenz fineass Tate yum,2023,10,11
 Sadly no. It didn`t come with one...,2023,1,27
Omg Wango Tango was **** AWSOME! I love my baby for taking me,2023,2,28
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",2023,9,17
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,2023,6,1
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,2023,6,1
Really great day,2023,9,4
"Its raining, I need an umbrella ",2023,9,11
